144# Number of sensors
#x	z
23	39	38	21	-85.96	0.0301163
23	39	21	37	52.32	0.0301911
23	39	37	20	-39.89	0.0302507
23	39	20	36	26.68	0.0303748
23	39	36	19	-22.63	0.0304419
23	39	19	35	17.42	0.0305741
23	39	35	18	-15.96	0.0306266
23	39	18	34	12.74	0.0307849
23	39	34	17	-11.66	0.0308576
23	39	17	33	11.06	0.0309042
22	38	21	37	126.98	0.0300788
22	38	37	20	-90.81	0.0301101
22	38	20	36	51.69	0.0301935
22	38	36	19	-42.41	0.0302358
22	38	19	35	29.9	0.0303344
22	38	35	18	-27	0.0303704
22	38	18	34	23.52	0.0304252
22	38	34	17	-21.22	0.0304713
22	38	17	33	17.53	0.0305705
21	37	20	36	116.99	0.0300855
21	37	36	19	-89.41	0.0301118
21	37	19	35	53.83	0.0301858
21	37	35	18	-47.21	0.0302118
21	37	18	34	39.45	0.0302535
21	37	34	17	-34.82	0.0302872
21	37	17	33	31.62	0.0303163
18	34	17	33	396.7	0.0300252
48	64	47	63	60.11	0.0301664
48	64	63	46	-44.66	0.0302239
48	64	46	62	27.44	0.0303644
48	64	62	45	-18.27	0.0305473
48	64	45	61	12.6	0.0307937
48	64	61	44	-9.04	0.0311062
48	64	44	60	6.67	0.0314993
48	64	60	43	-5.12	0.0319531
48	64	43	59	3.72	0.0326882
48	64	59	42	-2.96	0.0333784
48	64	42	58	2.34	0.0342735
48	64	58	41	-1.92	0.0352083
48	64	41	57	1.55	0.0364516
48	64	57	40	-1.3	0.0376923
48	64	40	56	1.07	0.0393458
48	64	56	39	-0.91	0.040989
47	63	46	62	81.79	0.0301223
47	63	62	45	-52.9	0.030189
47	63	45	61	32.96	0.0303034
47	63	61	44	-22.97	0.0304354
47	63	44	60	16.09	0.0306215
47	63	60	43	-12.07	0.0308285
47	63	43	59	8.82	0.0311338
47	63	59	42	-6.9	0.0314493
47	63	42	58	4.77	0.0320964
47	63	58	41	-3.83	0.032611
47	63	41	57	3.03	0.0333003
47	63	57	40	-2.5	0.034
47	63	40	56	2.01	0.0349751
47	63	56	39	-1.69	0.0359172
47	63	39	55	1.39	0.0371942
47	63	55	38	-1.2	0.0383333
46	62	45	61	80.19	0.0301247
46	62	61	44	-55.52	0.0301801
46	62	44	60	33.82	0.0302957
46	62	60	43	-25.25	0.030396
46	62	43	59	17.12	0.0305841
46	62	59	42	-13.39	0.0307468
46	62	42	58	9.7	0.0310309
46	62	58	41	-7.8	0.0312821
46	62	41	57	5.4	0.0318519
46	62	57	40	-4.47	0.0322371
46	62	40	56	3.45	0.0328986
46	62	56	39	-2.9	0.0334483
46	62	39	55	2.32	0.0343103
46	62	55	38	-2.01	0.0349751
46	62	38	54	1.63	0.036135
